symbol,datetime,price
SI=F,2025-05-27 15:00:00,33.37
SI=F,2025-05-27 16:00:00,33.385
SI=F,2025-05-27 18:00:00,33.38
SI=F,2025-05-27 19:00:00,33.395
SI=F,2025-05-27 20:00:00,33.395
SI=F,2025-05-27 21:00:00,33.37
SI=F,2025-05-27 22:00:00,33.44
SI=F,2025-05-27 23:00:00,33.395
SI=F,2025-05-28 00:00:00,33.375
SI=F,2025-05-28 01:00:00,33.42
SI=F,2025-05-28 02:00:00,33.315
SI=F,2025-05-28 03:00:00,33.495
SI=F,2025-05-28 04:00:00,33.51
SI=F,2025-05-28 05:00:00,33.565
SI=F,2025-05-28 06:00:00,33.44
SI=F,2025-05-28 07:00:00,33.39
SI=F,2025-05-28 08:00:00,33.375
SI=F,2025-05-28 09:00:00,33.275
SI=F,2025-05-28 10:00:00,33.235
SI=F,2025-05-28 11:00:00,33.135
SI=F,2025-05-28 12:00:00,33.145
